国連による世界地理区分,国名,地域名,ヒジャブの出現率,解説,地域ID,地図番号,地図の範囲,地域統計（宗教人口比率）,全国参考値（宗教人口比率・2020年）,服装の根拠,出典ID,出典URL
西アフリカ,コートジボワール,南部アビジャンの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,CIV-abidjan,018,位置の目印（面積を持たない）,地域別数値は未取得,46.3%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-CIV,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/cote-divoire/
西アフリカ,ガーナ,北部（タマレ周辺とその北）,やや高い,北部のムスリム生活圏。北部全域が同じ宗教・服装ではない。,GHA-north,019,緯度経度で囲った概略,地域別数値は未取得,19.9%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-GHA,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/ghana/
西アフリカ,ガーナ,南部アクラのゾンゴ地区など,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,GHA-accra,020,位置の目印（面積を持たない）,地域別数値は未取得,19.9%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-GHA,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/ghana/
西アフリカ,トーゴ,北部（ブルキナファソ国境寄り）,やや高い,北部のムスリム生活圏を大まかに示す。宗教の混在と一般の頭巻きに注意。,TGO-north,021,緯度経度で囲った概略,地域別数値は未取得,16.1%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-TGO,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/togo/
西アフリカ,ベナン,北部・北東部（ニジェール／ナイジェリア国境寄り）,やや高い,ムスリム人口の多い北部・北東部をまとめたもの。各県内にも宗教の混在がある。,BEN-north,022,行政区を束ねた概略,地域別数値は未取得,31.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-BEN,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/benin/
西アフリカ,ナイジェリア,北部（北西部と北東部の中心域）,高い,北西部・北東部ではイスラム教が優勢。2010年の全国ムスリム女性調査では、いつも53%、大抵16%が頭を覆う。北部全住民がムスリムという意味ではない。,NGA-north,023,行政区を束ねた概略,地域別数値は未取得,56.1%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; IRF-NGA; PEW_DRESS2010,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/nigeria/; https://www.pewresearch.org/wp-content/uploads/sites/4/legacy-pdf/Muslim-American-Report-10-02-12-fix.pdf
西アフリカ,ナイジェリア,中北部・北東部南縁（アブジャ周辺など）,やや高い,キリスト教・イスラム教が混在する移行帯。カドゥナ州の北部と南部にも差がある。,NGA-transition,024,行政区を束ねた概略,地域別数値は未取得,56.1%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; IRF-NGA; PEW_DRESS2010,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/nigeria/; https://www.pewresearch.org/wp-content/uploads/sites/4/legacy-pdf/Muslim-American-Report-10-02-12-fix.pdf
西アフリカ,ナイジェリア,南西部（ラゴス・イバダン周辺）,やや高い,南西部にもムスリムが多く住む。ヒジャブを見て直ちに北部と決めない。,NGA-southwest,025,行政区を束ねた概略,地域別数値は未取得,56.1%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; IRF-NGA; PEW_DRESS2010,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/nigeria/; https://www.pewresearch.org/wp-content/uploads/sites/4/legacy-pdf/Muslim-American-Report-10-02-12-fix.pdf
中部アフリカ,チャド,北部・中部（首都ンジャメナを含む）,やや高い,イスラム教人口が多い北部・中部。南部にはキリスト教・伝統宗教の人口が多い。,TCD-north,026,緯度経度で囲った概略,地域別数値は未取得,56.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-TCD,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/chad/
中部アフリカ,カメルーン,北部の細長い部分（ナイジェリア／チャド寄り）,やや高い,北部にムスリム人口が集中するが一様ではない。南部の熱帯都市も完全な除外はできない。,CMR-north,027,緯度経度で囲った概略,地域別数値は未取得,25.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-CMR,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/cameroon/
東アフリカ,ソマリア,全域（住民の生活圏）,高い,東アフリカの角の住民生活圏。ソマリランドを含めた地理的表示。長い覆い・ジルバブ・顔の覆いを伴うこともある。,SOM-all,028,国・地域全体,地域別数値は未取得,99.8%,服装の質的資料あり／地域の率は未取得,PEW2025; SOM_DRESS,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.hrw.org/reports/2010/04/13/harsh-war-harsh-peace
東アフリカ,ジブチ,全域（住民の生活圏）,高い,紅海入口の小国。ソマリ系・アファル系の生活圏で頭を覆う服装が見られる。数値は宗教人口で、着用率の全国実測値は未取得。,DJI-all,029,国・地域全体,地域別数値は未取得,97.7%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-DJI,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/djibouti/
東アフリカ,エリトリア,西部の低地と紅海沿岸,やや高い,ムスリム人口は低地・沿岸に多い。中央のアスマラ周辺の高地を除いた大まかな行政地域。県内にも高地や宗教の混在がある。,ERI-lowlands,030,行政区を束ねた概略,地域別数値は未取得,51.7%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東アフリカ,エチオピア,東部（ソマリア国境寄り）,高い,ソマリ州のムスリム生活圏。全国平均をこの地域の率として使わない。,ETH-east,031,行政区を束ねた概略,地域別数値は未取得,36.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-ETH,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/ethiopia/
東アフリカ,エチオピア,北東部（ジブチ・エリトリア国境寄りの低地）,やや高い,アファル低地のムスリム生活圏。高原側のキリスト教徒の頭布との混同に注意。,ETH-northeast,032,行政区を束ねた概略,地域別数値は未取得,36.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-ETH,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/ethiopia/
東アフリカ,エチオピア,東中部・南東部（ハラール周辺から南へ）,やや高い,ハラール周辺とオロミア州東部・南東部の一部。長方形を国境で切った概略で、宗教境界ではない。,ETH-southeast,033,緯度経度で囲った概略,地域別数値は未取得,36.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-ETH,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/ethiopia/
東アフリカ,ケニア,北東部（ソマリア国境沿い）,高い,ムスリムが多いソマリア国境側。旧州境を使った大まかな表示。,KEN-northeast,034,行政区を束ねた概略,地域別数値は未取得,10.9%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-KEN,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/kenya/
東アフリカ,ケニア,南東部の海岸（モンバサ～ラム）,やや高い,スワヒリ海岸のムスリム生活圏。海岸州の内陸すべてに同じ傾向があるとは限らない。,KEN-coast,035,緯度経度で囲った概略,地域別数値は未取得,10.9%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-KEN,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/kenya/
東アフリカ,ケニア,中南部ナイロビ東部の一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,KEN-nairobi,036,位置の目印（面積を持たない）,地域別数値は未取得,10.9%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-KEN,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/kenya/
東アフリカ,タンザニア,東部沖の島々（ザンジバル・ペンバ）,高い,ザンジバルはムスリム約99%との推計。沿岸本土と区別して覚える。,TZA-zanzibar,037,行政区を束ねた概略,Zanzibar: 99.00% (2023年),29.9%,宗教人口・地域分布からの弱い定性推定／着用率未取得,IRF-TZA; PEW2025,https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/tanzania/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東アフリカ,タンザニア,東部の海岸（ダルエスサラーム周辺）,やや高い,本土のインド洋沿岸にムスリム生活圏が続く。州の内陸は混在する。,TZA-coast,038,行政区を束ねた概略,地域別数値は未取得,29.9%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-TZA,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/tanzania/
東アフリカ,モザンビーク,北部（タンザニア国境・北東海岸）,やや高い,北部のムスリム人口が多い地域。宗教分布と一般的な頭巻きは分ける。,MOZ-north,039,行政区を束ねた概略,地域別数値は未取得,19.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-MOZ,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/mozambique/
東アフリカ,マラウイ,南部（マラウイ湖の南端周辺）,やや高い,マンゴチ・マチンガなど南部のムスリム生活圏。湖全周や国全域を意味しない。,MWI-south,040,緯度経度で囲った概略,地域別数値は未取得,11.6%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-MWI,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/malawi/
東アフリカ,ウガンダ,南部カンパラの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,UGA-kampala,041,位置の目印（面積を持たない）,地域別数値は未取得,11.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-UGA,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/uganda/
東アフリカ,コモロ,全域（住民の生活圏）,やや高い,インド洋のコモロ諸島。頭を覆うシロマニなど地域衣装もあり、一般のヒジャブと形が異なる。,COM-all,042,国・地域全体,地域別数値は未取得,98.3%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東アフリカ,マヨット（フランス）,マヨット島（アフリカ東岸沖）,やや高い,国連M49では東アフリカの独立した統計地域。フランス本土の傾向と混同しない。頭布の形に注意。,MYT-island,043,緯度経度で囲った概略,地域別数値は未取得,98.8%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東アフリカ,モーリシャス,北西部ポートルイスの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,MUS-port-louis,044,位置の目印（面積を持たない）,地域別数値は未取得,17.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東アフリカ,マダガスカル,北西部マハジャンガの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,MDG-mahajanga,045,位置の目印（面積を持たない）,地域別数値は未取得,1.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-MDG,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/madagascar/
南部アフリカ,南アフリカ共和国,南西端ケープタウンのボーカープ周辺,やや高い,西ケープ州のムスリム人口は2022年に5.2%。州全体を塗らず、歴史的なムスリム地区の位置を点で示す。,ZAF-cape-town,046,位置の目印（面積を持たない）,Western Cape: 5.20% (2022年),1.6%,宗教人口・地域分布からの弱い定性推定／着用率未取得,ZAF2022; PEW2025,https://census.statssa.gov.za/assets/documents/2022/P03014_Census_2022_Statistical_Release.pdf; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南部アフリカ,南アフリカ共和国,東岸ダーバンの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,ZAF-durban,047,位置の目印（面積を持たない）,地域別数値は未取得,1.6%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-ZAF,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/south-africa/
南部アフリカ,南アフリカ共和国,北東部ヨハネスブルクの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,ZAF-johannesburg,048,位置の目印（面積を持たない）,地域別数値は未取得,1.6%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-ZAF,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/south-africa/
南アジア,イラン,全域（住民の生活圏）,高い,国連M49では南アジア。頭を覆う法的要件がある一方、実際の着用や取り締まりには時期・都市差がある。法律だけを着用率とはみなさない。,IRN-all,049,国・地域全体,地域別数値は未取得,99.8%,服装の質的資料あり／地域の率は未取得,PEW2025; FCDO-IRN,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.gov.uk/foreign-travel-advice/iran/safety-and-security
南アジア,アフガニスタン,全域（住民の生活圏）,やや高い,頭髪・身体を覆う服装が広く想定されるが、ブルカや顔の覆いをヒジャブと同一の着用率にしない。2021年以降と過去画像で環境が異なる。,AFG-all,050,国・地域全体,地域別数値は未取得,99.9%,服装の質的資料あり／地域の率は未取得,PEW2025; FCDO-AFG,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.gov.uk/foreign-travel-advice/afghanistan/safety-and-security
南アジア,パキスタン,全域（住民の生活圏）,高い,全国のムスリム女性調査（2010年）で、いつも32%、大抵29%が頭を覆う。ドゥパッタなど緩い頭布もあり、頭布一枚で判定しない。,PAK-all,051,国・地域全体,地域別数値は未取得,96.5%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; PEW_DRESS2010,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.pewresearch.org/wp-content/uploads/sites/4/legacy-pdf/Muslim-American-Report-10-02-12-fix.pdf
南アジア,バングラデシュ,全域（住民の生活圏）,やや高い,低地の住民生活圏に広く候補がある。サリーの布などヒジャブ以外の覆いもあるため、一律の高率とはしない。,BGD-all,052,国・地域全体,地域別数値は未取得,91.1%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,モルディブ,全域（住民の生活圏）,やや高い,住民島とマレを想定。観光リゾート島の服装を住民島に一般化しない。,MDV-all,053,国・地域全体,地域別数値は未取得,94.1%,服装の質的資料あり／地域の率は未取得,PEW2025; FCDO-MDV,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.gov.uk/foreign-travel-advice/maldives/safety-and-security
南アジア,インド,最北部（スリナガル周辺のカシミール盆地）,やや高い,ムスリム人口が非常に多い盆地。地区別のヒジャブ着用率は未取得なので保守的に「やや高い」。旧州全域やラダックまで同色にしない。,IND-kashmir,054,緯度経度で囲った概略,District - Srinagar: 95.19% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,IND_C01; PEW_IND_DRESS; PEW2025,https://censusindia.gov.in/nada/index.php/catalog/11361; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,インド,北部（デリーの北東～東、ガンジス川上流の平野）,やや高い,ウッタル・プラデーシュ州西部のムスリムが多い地区。州全体の比率を個別地区の比率に置き換えない。,IND-upper-ganges,055,緯度経度で囲った概略,State - UTTAR PRADESH: 19.26% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,IND_C01; PEW_IND_DRESS; PEW2025,https://censusindia.gov.in/nada/index.php/catalog/11361; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,インド,北部デリー周辺（旧市街・北東部など）,やや高い,デリー全体とムスリムが多い地区には差がある。北東地区の統計をデリー全域に広げない。,IND-delhi,056,位置の目印（面積を持たない）,District - North East: 29.34% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,IND_C01; PEW_IND_DRESS; PEW2025,https://censusindia.gov.in/nada/index.php/catalog/11361; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
